full-name,first-name,middle-initial,middle-name,last-name,specialty,address,city,state,zip,requestor,office-contact-person,npi-number,main-phone,office-phone-number,dea-number,office-fax-number,email-address
Smithington Proper Thinkerton,Smithington,P,Proper,Thinkerton,Neuropsychiatrist,263 Wilson Spur Apt. 572,Brandonfort,NV,26220,Jeremiah Montoya MD,Emily Daniel,2155113932,(+1) 418-419-4922,(+1) 685-174-4104x6434,BQ01657944,001-800-654-0508x1503,ddaniels@gmail.com
Michelle Anne Henderson,Michelle,A,Anne,Henderson,Cardiologist,456 Oak Street Suite 301,Hamptonville,TX,78901,Robert Lewis MD,Laura Martinez,3356849201,(+1) 555-789-1234,(+1) 555-987-6543x5321,BQ04781234,001-800-987-1234x5678,mhenderson@email.com
David William Rodriguez,David,W,William,Rodriguez,Orthopedic Surgeon,789 Elm Avenue,Sunrise,CO,45678,Susan Allen MD,John Davis,7860591045,(+1) 555-234-5678,(+1) 555-345-6789x7429,BQ02345678,001-800-567-8901,drodriguez@email.com
Jennifer Nicole Smith,Jennifer,N,Nicole,Smith,Dermatologist,123 Maple Lane Suite 202,Springfield,IL,56789,Karen White MD,Sarah Johnson,5621984320,(+1) 555-345-6789,(+1) 555-789-1234x6210,BQ09876543,001-800-654-7890x1234,jnsmith@email.com
Matthew James Thompson,Matthew,J,James,Thompson,Gastroenterologist,567 Cedar Street Suite 401,Brookside,PA,23456,Linda Wilson MD,Michael Davis,9874562103,(+1) 555-789-1234,(+1) 555-234-5678x9201,BQ03216547,001-800-890-1234x5678,mjthompson@email.com
Emily Elizabeth Brown,Emily,E,Elizabeth,Brown,Pediatrician,789 Pine Lane Suite 105,Woodville,NY,34567,Daniel Martinez MD,Emily Taylor,4567890123,(+1) 555-234-5678,(+1) 555-789-1234x5105,BQ05678901,001-800-234-5678,eebrown@email.com
William Benjamin Jackson,William,B,Benjamin,Jackson,Neurologist,234 Oak Avenue Suite 201,Harborview,CA,67890,Alice Garcia MD,John Smith,8901234567,(+1) 555-789-1234,(+1) 555-234-5678x2101,BQ07890123,001-800-345-6789,wbjackson@email.com
Sophia Grace White,Sophia,G,Grace,White,Obstetrician-Gynecologist,456 Cedar Street,Sunsetville,WA,56789,Olivia Davis MD,Susan Williams,3456789012,(+1) 555-234-5678,(+1) 555-789-1234x8502,BQ06543210,001-800-234-5678x9012,sgwhite@email.com
Alexander Ethan Martin,Alexander,E,Ethan,Martin,General Surgeon,567 Pine Lane Suite 303,Meadowville,IL,45678,David Johnson MD,Liam Taylor,2345678901,(+1) 555-789-1234,(+1) 555-234-5678x303,BQ07654321,001-800-890-1234x5678,aemartin@email.com
Natalie Olivia Anderson,Natalie,O,Olivia,Anderson,Internal Medicine Physician,789 Willow Avenue Suite 102,Harborville,TX,56789,Jason Adams MD,Jessica Hernandez,7654321098,(+1) 555-234-5678,(+1) 555-789-1234x102,BQ08976543,001-800-109-8765x4321,noanderson@email.com
